province,property_type,median_price,total_samples,source_count,sources
Buriram,Condo,3637169.0,124,2,"LivingInsider, Baania"
Buriram,House,3640304.0,219,3,"LivingInsider, Baania, DotProperty"
Buriram,Land,8624933.0,54,2,"LivingInsider, DotProperty"
Buriram,Townhouse,3740905.0,120,2,"Baania, DotProperty"
Chiang Rai,Condo,1978026.0,169,1,Baania
Chiang Rai,House,3465597.0,253,3,"LivingInsider, Baania, DotProperty"
Chiang Rai,Land,2084276.0,29,2,"LivingInsider, DotProperty"
Chiang Rai,Townhouse,3312358.0,137,2,"Baania, DotProperty"
Chonburi,Condo,2288108.0,268,3,"LivingInsider, Baania, DotProperty"
Chonburi,House,2732987.0,251,3,"LivingInsider, Baania, DotProperty"
Chonburi,Land,8900000.0,14,1,LivingInsider
Chonburi,Townhouse,2453162.0,234,3,"LivingInsider, Baania, DotProperty"
Khon Kaen,Condo,2251806.0,233,3,"LivingInsider, Baania, DotProperty"
Khon Kaen,House,3764274.0,276,3,"LivingInsider, Baania, DotProperty"
Khon Kaen,Land,3996818.0,22,2,"LivingInsider, DotProperty"
Khon Kaen,Townhouse,1041394.0,242,3,"LivingInsider, Baania, DotProperty"
Phitsanulok,Condo,3686862.0,145,2,"LivingInsider, Baania"
Phitsanulok,House,3717949.0,234,3,"LivingInsider, Baania, DotProperty"
Phitsanulok,Land,9166667.0,45,2,"LivingInsider, DotProperty"
Phitsanulok,Townhouse,3867226.0,135,3,"LivingInsider, Baania, DotProperty"
Prachuap Khiri Khan,Condo,3375969.0,223,3,"LivingInsider, Baania, DotProperty"
Prachuap Khiri Khan,House,3489019.0,268,3,"LivingInsider, Baania, DotProperty"
Prachuap Khiri Khan,Land,17298750.0,24,2,"LivingInsider, DotProperty"
Prachuap Khiri Khan,Townhouse,3555815.0,265,1,Baania
Rayong,Condo,2474822.0,253,3,"LivingInsider, Baania, DotProperty"
Rayong,House,2938314.0,275,3,"LivingInsider, Baania, DotProperty"
Rayong,Land,39010000.0,30,2,"LivingInsider, DotProperty"
Rayong,Townhouse,2619089.0,228,2,"Baania, DotProperty"
Surin,Condo,3675483.0,128,1,Baania
Surin,House,3655185.0,170,3,"LivingInsider, Baania, DotProperty"
Surin,Land,9927857.0,35,2,"LivingInsider, DotProperty"
Surin,Townhouse,4049272.0,133,3,"LivingInsider, Baania, DotProperty"
Ubon Ratchathani,Condo,3366108.0,153,3,"LivingInsider, Baania, DotProperty"
Ubon Ratchathani,House,3724228.0,279,3,"LivingInsider, Baania, DotProperty"
Ubon Ratchathani,Land,6598500.0,50,2,"LivingInsider, DotProperty"
Ubon Ratchathani,Townhouse,3853480.0,130,2,"LivingInsider, Baania"
Udon Thani,Condo,3382508.0,208,2,"LivingInsider, Baania"
Udon Thani,House,3662115.0,295,3,"LivingInsider, Baania, DotProperty"
Udon Thani,Land,16044574.0,36,2,"LivingInsider, DotProperty"
Udon Thani,Townhouse,3499917.0,135,2,"LivingInsider, Baania"
